,Cement,Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age,Log(Cement),Cement^2,SQRT(Slag),Slag^2,SQRT(Fly Ash),Fly Ash^2,Log(Water),Water^2,SQRT(Superplasticizer),Superplasticizer^2,Log(Coarse Aggregate),Coarse Aggregate^2,Log(Fine Aggregate),Fine Aggregate^2,Log(Age),Age^2,Slag/Cement,Fly Ash/Cement,Cement/Water,Superplasticizer/Cement,Cement/Coarse Aggregate,Cement/Fine Aggregate,Slag/Water,Slag/Coarse Aggregate,Slag/Fine Aggregate,Fly Ash/Water,Fly Ash/Coarse Aggregate,Fly Ash/Fine Aggregate,Superplasticizer/Water,Water/Coarse Aggregate,Water/Fine Aggregate,Superplasticizer/Coarse Aggregate,Superplasticizer/Fine Aggregate,Coarse Aggregate/Fine Aggregate,Age = 28 Days,Age > 28 Days,Age = 28 Days * Cement,Age > 28 Days * Cement,Age = 28 Days * Slag,Age > 28 Days * Slag,Age = 28 Days * Fly Ash,Age > 28 Days * Fly Ash,Age = 28 Days * Water,Age > 28 Days * Water,Age = 28 Days * Superplasticizer,Age > 28 Days * Superplasticizer,Age = 28 Days * Coarse Aggregate,Age > 28 Days * Coarse Aggregate,Age = 28 Days * Fine Aggregate,Age > 28 Days * Fine Aggregate,Age = 28 Days * Log(Cement),Age > 28 Days * Log(Cement),Age = 28 Days * Cement^2,Age > 28 Days * Cement^2,Age = 28 Days * SQRT(Slag),Age > 28 Days * SQRT(Slag),Age = 28 Days * Slag^2,Age > 28 Days * Slag^2,Age = 28 Days * SQRT(Fly Ash),Age > 28 Days * SQRT(Fly Ash),Age = 28 Days * Fly Ash^2,Age > 28 Days * Fly Ash^2,Age = 28 Days * Log(Water),Age > 28 Days * Log(Water),Age = 28 Days * Water^2,Age > 28 Days * Water^2,Age = 28 Days * SQRT(Superplasticizer),Age > 28 Days * SQRT(Superplasticizer),Age = 28 Days * Superplasticizer^2,Age > 28 Days * Superplasticizer^2,Age = 28 Days * Log(Coarse Aggregate),Age > 28 Days * Log(Coarse Aggregate),Age = 28 Days * Coarse Aggregate^2,Age > 28 Days * Coarse Aggregate^2,Age = 28 Days * Log(Fine Aggregate),Age > 28 Days * Log(Fine Aggregate),Age = 28 Days * Fine Aggregate^2,Age > 28 Days * Fine Aggregate^2,Age = 28 Days * Slag/Cement,Age > 28 Days * Slag/Cement,Age = 28 Days * Fly Ash/Cement,Age > 28 Days * Fly Ash/Cement,Age = 28 Days * Cement/Water,Age > 28 Days * Cement/Water,Age = 28 Days * Superplasticizer/Cement,Age > 28 Days * Superplasticizer/Cement,Age = 28 Days * Cement/Coarse Aggregate,Age > 28 Days * Cement/Coarse Aggregate,Age = 28 Days * Cement/Fine Aggregate,Age > 28 Days * Cement/Fine Aggregate,Age = 28 Days * Slag/Water,Age > 28 Days * Slag/Water,Age = 28 Days * Slag/Coarse Aggregate,Age > 28 Days * Slag/Coarse Aggregate,Age = 28 Days * Slag/Fine Aggregate,Age > 28 Days * Slag/Fine Aggregate,Age = 28 Days * Fly Ash/Water,Age > 28 Days * Fly Ash/Water,Age = 28 Days * Fly Ash/Coarse Aggregate,Age > 28 Days * Fly Ash/Coarse Aggregate,Age = 28 Days * Fly Ash/Fine Aggregate,Age > 28 Days * Fly Ash/Fine Aggregate,Age = 28 Days * Superplasticizer/Water,Age > 28 Days * Superplasticizer/Water,Age = 28 Days * Water/Coarse Aggregate,Age > 28 Days * Water/Coarse Aggregate,Age = 28 Days * Water/Fine Aggregate,Age > 28 Days * Water/Fine Aggregate,Age = 28 Days * Superplasticizer/Coarse Aggregate,Age > 28 Days * Superplasticizer/Coarse Aggregate,Age = 28 Days * Superplasticizer/Fine Aggregate,Age > 28 Days * Superplasticizer/Fine Aggregate,Age = 28 Days * Coarse Aggregate/Fine Aggregate,Age > 28 Days * Coarse Aggregate/Fine Aggregate,Strength
0,540.0,0.0,0.0,162.0,2.5,1040.0,676.0,28,6.29156913955832,291600.0,0.0,0.0,0.0,0.0,5.087596335232384,26244.0,1.5811388300841898,6.25,6.946975992135418,1081600.0,6.516193076042964,456976.0,3.332204510175204,784,0.0,0.0,3.3333333333333335,0.004629629629629629,0.5192307692307693,0.7988165680473372,0.0,0.0,0.0,0.0,0.0,0.0,0.015432098765432098,0.15576923076923077,0.23964497041420119,0.002403846153846154,0.0036982248520710057,1.5384615384615385,1,0,540.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,2.5,0.0,1040.0,0.0,676.0,0.0,6.29156913955832,0.0,291600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.087596335232384,0.0,26244.0,0.0,1.5811388300841898,0.0,6.25,0.0,6.946975992135418,0.0,1081600.0,0.0,6.516193076042964,0.0,456976.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.004629629629629629,0.0,0.5192307692307693,0.0,0.7988165680473372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015432098765432098,0.0,0.15576923076923077,0.0,0.23964497041420119,0.0,0.002403846153846154,0.0,0.0036982248520710057,0.0,1.5384615384615385,0.0,79.98611076
1,540.0,0.0,0.0,162.0,2.5,1055.0,676.0,28,6.29156913955832,291600.0,0.0,0.0,0.0,0.0,5.087596335232384,26244.0,1.5811388300841898,6.25,6.961296045910167,1113025.0,6.516193076042964,456976.0,3.332204510175204,784,0.0,0.0,3.3333333333333335,0.004629629629629629,0.5118483412322274,0.7988165680473372,0.0,0.0,0.0,0.0,0.0,0.0,0.015432098765432098,0.15355450236966825,0.23964497041420119,0.002369668246445498,0.0036982248520710057,1.5606508875739644,1,0,540.0,0.0,0.0,0.0,0.0,0.0,162.0,0.0,2.5,0.0,1055.0,0.0,676.0,0.0,6.29156913955832,0.0,291600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.087596335232384,0.0,26244.0,0.0,1.5811388300841898,0.0,6.25,0.0,6.961296045910167,0.0,1113025.0,0.0,6.516193076042964,0.0,456976.0,0.0,0.0,0.0,0.0,0.0,3.3333333333333335,0.0,0.004629629629629629,0.0,0.5118483412322274,0.0,0.7988165680473372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015432098765432098,0.0,0.15355450236966825,0.0,0.23964497041420119,0.0,0.002369668246445498,0.0,0.0036982248520710057,0.0,1.5606508875739644,0.0,61.887365759999994
2,332.5,142.5,0.0,228.0,0.0,932.0,594.0,270,5.806639860095909,110556.25,11.937336386313323,20306.25,0.0,0.0,5.429345628954441,51984.0,0.0,0.0,6.837332814685591,868624.0,6.386879319362645,352836.0,5.598421958998375,72900,0.42857142857142855,0.0,1.4583333333333333,0.0,0.35675965665236054,0.5597643097643098,0.625,0.15289699570815452,0.2398989898989899,0.0,0.0,0.0,0.0,0.2446351931330472,0.3838383838383838,0.0,0.0,1.569023569023569,0,1,0.0,332.5,0.0,142.5,0.0,0.0,0.0,228.0,0.0,0.0,0.0,932.0,0.0,594.0,0.0,5.806639860095909,0.0,110556.25,0.0,11.937336386313323,0.0,20306.25,0.0,0.0,0.0,0.0,0.0,5.429345628954441,0.0,51984.0,0.0,0.0,0.0,0.0,0.0,6.837332814685591,0.0,868624.0,0.0,6.386879319362645,0.0,352836.0,0.0,0.42857142857142855,0.0,0.0,0.0,1.4583333333333333,0.0,0.0,0.0,0.35675965665236054,0.0,0.5597643097643098,0.0,0.625,0.0,0.15289699570815452,0.0,0.2398989898989899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2446351931330472,0.0,0.3838383838383838,0.0,0.0,0.0,0.0,0.0,1.569023569023569,40.269535256000005
3,332.5,142.5,0.0,228.0,0.0,932.0,594.0,365,5.806639860095909,110556.25,11.937336386313323,20306.25,0.0,0.0,5.429345628954441,51984.0,0.0,0.0,6.837332814685591,868624.0,6.386879319362645,352836.0,5.8998973535824915,133225,0.42857142857142855,0.0,1.4583333333333333,0.0,0.35675965665236054,0.5597643097643098,0.625,0.15289699570815452,0.2398989898989899,0.0,0.0,0.0,0.0,0.2446351931330472,0.3838383838383838,0.0,0.0,1.569023569023569,0,1,0.0,332.5,0.0,142.5,0.0,0.0,0.0,228.0,0.0,0.0,0.0,932.0,0.0,594.0,0.0,5.806639860095909,0.0,110556.25,0.0,11.937336386313323,0.0,20306.25,0.0,0.0,0.0,0.0,0.0,5.429345628954441,0.0,51984.0,0.0,0.0,0.0,0.0,0.0,6.837332814685591,0.0,868624.0,0.0,6.386879319362645,0.0,352836.0,0.0,0.42857142857142855,0.0,0.0,0.0,1.4583333333333333,0.0,0.0,0.0,0.35675965665236054,0.0,0.5597643097643098,0.0,0.625,0.0,0.15289699570815452,0.0,0.2398989898989899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2446351931330472,0.0,0.3838383838383838,0.0,0.0,0.0,0.0,0.0,1.569023569023569,41.052779992
4,198.6,132.4,0.0,192.0,0.0,978.4,825.5,360,5.291292751611072,39441.96,11.50651989091402,17529.760000000002,0.0,0.0,5.2574953720277815,36864.0,0.0,0.0,6.885918584372963,957266.5599999999,6.715989263360183,681450.25,5.886104031450156,129600,0.6666666666666667,0.0,1.034375,0.0,0.20298446443172527,0.24058146577831616,0.6895833333333333,0.13532297628781687,0.1603876438522108,0.0,0.0,0.0,0.0,0.19623875715453803,0.23258631132646881,0.0,0.0,1.1852210781344639,0,1,0.0,198.6,0.0,132.4,0.0,0.0,0.0,192.0,0.0,0.0,0.0,978.4,0.0,825.5,0.0,5.291292751611072,0.0,39441.96,0.0,11.50651989091402,0.0,17529.760000000002,0.0,0.0,0.0,0.0,0.0,5.2574953720277815,0.0,36864.0,0.0,0.0,0.0,0.0,0.0,6.885918584372963,0.0,957266.5599999999,0.0,6.715989263360183,0.0,681450.25,0.0,0.6666666666666667,0.0,0.0,0.0,1.034375,0.0,0.0,0.0,0.20298446443172527,0.0,0.24058146577831616,0.0,0.6895833333333333,0.0,0.13532297628781687,0.0,0.1603876438522108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19623875715453803,0.0,0.23258631132646881,0.0,0.0,0.0,0.0,0.0,1.1852210781344639,44.296075096
5,380.0,95.0,0.0,228.0,0.0,932.0,594.0,365,5.940171252720432,144400.0,9.746794344808963,9025.0,0.0,0.0,5.429345628954441,51984.0,0.0,0.0,6.837332814685591,868624.0,6.386879319362645,352836.0,5.8998973535824915,133225,0.25,0.0,1.6666666666666667,0.0,0.40772532188841204,0.6397306397306397,0.4166666666666667,0.10193133047210301,0.15993265993265993,0.0,0.0,0.0,0.0,0.2446351931330472,0.3838383838383838,0.0,0.0,1.569023569023569,0,1,0.0,380.0,0.0,95.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,932.0,0.0,594.0,0.0,5.940171252720432,0.0,144400.0,0.0,9.746794344808963,0.0,9025.0,0.0,0.0,0.0,0.0,0.0,5.429345628954441,0.0,51984.0,0.0,0.0,0.0,0.0,0.0,6.837332814685591,0.0,868624.0,0.0,6.386879319362645,0.0,352836.0,0.0,0.25,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.40772532188841204,0.0,0.6397306397306397,0.0,0.4166666666666667,0.0,0.10193133047210301,0.0,0.15993265993265993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2446351931330472,0.0,0.3838383838383838,0.0,0.0,0.0,0.0,0.0,1.569023569023569,43.698299404
6,380.0,95.0,0.0,228.0,0.0,932.0,594.0,28,5.940171252720432,144400.0,9.746794344808963,9025.0,0.0,0.0,5.429345628954441,51984.0,0.0,0.0,6.837332814685591,868624.0,6.386879319362645,352836.0,3.332204510175204,784,0.25,0.0,1.6666666666666667,0.0,0.40772532188841204,0.6397306397306397,0.4166666666666667,0.10193133047210301,0.15993265993265993,0.0,0.0,0.0,0.0,0.2446351931330472,0.3838383838383838,0.0,0.0,1.569023569023569,1,0,380.0,0.0,95.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,932.0,0.0,594.0,0.0,5.940171252720432,0.0,144400.0,0.0,9.746794344808963,0.0,9025.0,0.0,0.0,0.0,0.0,0.0,5.429345628954441,0.0,51984.0,0.0,0.0,0.0,0.0,0.0,6.837332814685591,0.0,868624.0,0.0,6.386879319362645,0.0,352836.0,0.0,0.25,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.40772532188841204,0.0,0.6397306397306397,0.0,0.4166666666666667,0.0,0.10193133047210301,0.0,0.15993265993265993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2446351931330472,0.0,0.3838383838383838,0.0,0.0,0.0,0.0,0.0,1.569023569023569,0.0,36.447769788
7,266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,5.583496308781699,70756.0,10.677078252031311,12996.0,0.0,0.0,5.429345628954441,51984.0,0.0,0.0,6.837332814685591,868624.0,6.507277712385012,448900.0,3.332204510175204,784,0.42857142857142855,0.0,1.1666666666666667,0.0,0.2854077253218884,0.3970149253731343,0.5,0.1223175965665236,0.1701492537313433,0.0,0.0,0.0,0.0,0.2446351931330472,0.3402985074626866,0.0,0.0,1.391044776119403,1,0,266.0,0.0,114.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,932.0,0.0,670.0,0.0,5.583496308781699,0.0,70756.0,0.0,10.677078252031311,0.0,12996.0,0.0,0.0,0.0,0.0,0.0,5.429345628954441,0.0,51984.0,0.0,0.0,0.0,0.0,0.0,6.837332814685591,0.0,868624.0,0.0,6.507277712385012,0.0,448900.0,0.0,0.42857142857142855,0.0,0.0,0.0,1.1666666666666667,0.0,0.0,0.0,0.2854077253218884,0.0,0.3970149253731343,0.0,0.5,0.0,0.1223175965665236,0.0,0.1701492537313433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2446351931330472,0.0,0.3402985074626866,0.0,0.0,0.0,0.0,0.0,1.391044776119403,0.0,45.854290856
8,475.0,0.0,0.0,228.0,0.0,932.0,594.0,28,6.163314804034641,225625.0,0.0,0.0,0.0,0.0,5.429345628954441,51984.0,0.0,0.0,6.837332814685591,868624.0,6.386879319362645,352836.0,3.332204510175204,784,0.0,0.0,2.0833333333333335,0.0,0.509656652360515,0.7996632996632996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2446351931330472,0.3838383838383838,0.0,0.0,1.569023569023569,1,0,475.0,0.0,0.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,932.0,0.0,594.0,0.0,6.163314804034641,0.0,225625.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.429345628954441,0.0,51984.0,0.0,0.0,0.0,0.0,0.0,6.837332814685591,0.0,868624.0,0.0,6.386879319362645,0.0,352836.0,0.0,0.0,0.0,0.0,0.0,2.0833333333333335,0.0,0.0,0.0,0.509656652360515,0.0,0.7996632996632996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2446351931330472,0.0,0.3838383838383838,0.0,0.0,0.0,0.0,0.0,1.569023569023569,0.0,39.28978986
9,198.6,132.4,0.0,192.0,0.0,978.4,825.5,90,5.291292751611072,39441.96,11.50651989091402,17529.760000000002,0.0,0.0,5.2574953720277815,36864.0,0.0,0.0,6.885918584372963,957266.5599999999,6.715989263360183,681450.25,4.499809670330265,8100,0.6666666666666667,0.0,1.034375,0.0,0.20298446443172527,0.24058146577831616,0.6895833333333333,0.13532297628781687,0.1603876438522108,0.0,0.0,0.0,0.0,0.19623875715453803,0.23258631132646881,0.0,0.0,1.1852210781344639,0,1,0.0,198.6,0.0,132.4,0.0,0.0,0.0,192.0,0.0,0.0,0.0,978.4,0.0,825.5,0.0,5.291292751611072,0.0,39441.96,0.0,11.50651989091402,0.0,17529.760000000002,0.0,0.0,0.0,0.0,0.0,5.2574953720277815,0.0,36864.0,0.0,0.0,0.0,0.0,0.0,6.885918584372963,0.0,957266.5599999999,0.0,6.715989263360183,0.0,681450.25,0.0,0.6666666666666667,0.0,0.0,0.0,1.034375,0.0,0.0,0.0,0.20298446443172527,0.0,0.24058146577831616,0.0,0.6895833333333333,0.0,0.13532297628781687,0.0,0.1603876438522108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19623875715453803,0.0,0.23258631132646881,0.0,0.0,0.0,0.0,0.0,1.1852210781344639,38.074243671999994
