,Cement,Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Slag/Cement,Fly Ash/Cement,Cement/Water,Superplasticizer/Cement,Cement/Coarse Aggregate,Cement/Fine Aggregate,Slag/Water,Slag/Coarse Aggregate,Slag/Fine Aggregate,Fly Ash/Water,Fly Ash/Coarse Aggregate,Fly Ash/Fine Aggregate,Superplasticizer/Water,Water/Coarse Aggregate,Water/Fine Aggregate,Superplasticizer/Coarse Aggregate,Superplasticizer/Fine Aggregate,Coarse Aggregate/Fine Aggregate,Age = 28 Days,Age > 28 Days,Strength
0,540.0,0.0,0.0,162.0,2.5,1040.0,676.0,0.0,0.0,3.3333333333333335,0.004629629629629629,0.5192307692307693,0.7988165680473372,0.0,0.0,0.0,0.0,0.0,0.0,0.015432098765432098,0.15576923076923077,0.23964497041420119,0.002403846153846154,0.0036982248520710057,1.5384615384615385,1,0,79.98611076
1,540.0,0.0,0.0,162.0,2.5,1055.0,676.0,0.0,0.0,3.3333333333333335,0.004629629629629629,0.5118483412322274,0.7988165680473372,0.0,0.0,0.0,0.0,0.0,0.0,0.015432098765432098,0.15355450236966825,0.23964497041420119,0.002369668246445498,0.0036982248520710057,1.5606508875739644,1,0,61.887365759999994
2,332.5,142.5,0.0,228.0,0.0,932.0,594.0,0.42857142857142855,0.0,1.4583333333333333,0.0,0.35675965665236054,0.5597643097643098,0.625,0.15289699570815452,0.2398989898989899,0.0,0.0,0.0,0.0,0.2446351931330472,0.3838383838383838,0.0,0.0,1.569023569023569,0,1,40.269535256000005
3,332.5,142.5,0.0,228.0,0.0,932.0,594.0,0.42857142857142855,0.0,1.4583333333333333,0.0,0.35675965665236054,0.5597643097643098,0.625,0.15289699570815452,0.2398989898989899,0.0,0.0,0.0,0.0,0.2446351931330472,0.3838383838383838,0.0,0.0,1.569023569023569,0,1,41.052779992
4,198.6,132.4,0.0,192.0,0.0,978.4,825.5,0.6666666666666667,0.0,1.034375,0.0,0.20298446443172527,0.24058146577831616,0.6895833333333333,0.13532297628781687,0.1603876438522108,0.0,0.0,0.0,0.0,0.19623875715453803,0.23258631132646881,0.0,0.0,1.1852210781344639,0,1,44.296075096
5,266.0,114.0,0.0,228.0,0.0,932.0,670.0,0.42857142857142855,0.0,1.1666666666666667,0.0,0.2854077253218884,0.3970149253731343,0.5,0.1223175965665236,0.1701492537313433,0.0,0.0,0.0,0.0,0.2446351931330472,0.3402985074626866,0.0,0.0,1.391044776119403,0,1,47.029847436000004
6,380.0,95.0,0.0,228.0,0.0,932.0,594.0,0.25,0.0,1.6666666666666667,0.0,0.40772532188841204,0.6397306397306397,0.4166666666666667,0.10193133047210301,0.15993265993265993,0.0,0.0,0.0,0.0,0.2446351931330472,0.3838383838383838,0.0,0.0,1.569023569023569,0,1,43.698299404
7,380.0,95.0,0.0,228.0,0.0,932.0,594.0,0.25,0.0,1.6666666666666667,0.0,0.40772532188841204,0.6397306397306397,0.4166666666666667,0.10193133047210301,0.15993265993265993,0.0,0.0,0.0,0.0,0.2446351931330472,0.3838383838383838,0.0,0.0,1.569023569023569,1,0,36.447769788
8,266.0,114.0,0.0,228.0,0.0,932.0,670.0,0.42857142857142855,0.0,1.1666666666666667,0.0,0.2854077253218884,0.3970149253731343,0.5,0.1223175965665236,0.1701492537313433,0.0,0.0,0.0,0.0,0.2446351931330472,0.3402985074626866,0.0,0.0,1.391044776119403,1,0,45.854290856
9,475.0,0.0,0.0,228.0,0.0,932.0,594.0,0.0,0.0,2.0833333333333335,0.0,0.509656652360515,0.7996632996632996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2446351931330472,0.3838383838383838,0.0,0.0,1.569023569023569,1,0,39.28978986
